magazine,magazine_id,issues,articles,issues_missing_articles_dir,issues_zero_articles,has_mag_listing_json,validator_status,validator_log,problem_reasons
Scroller,183,2,15,0,0,1,OK+WARN,validate_Scroller_20260602_004750.txt,Validator meldet Warnungen
Setevoy_Sokol,184,0,0,0,0,1,OK+WARN,validate_Setevoy_Sokol_20260602_004750.txt,Validator meldet Warnungen | Magazin ohne Issues
Sinc_Re-Stared,188,3,24,0,0,1,OK+WARN,validate_Sinc_Re-Stared_20260602_004751.txt,Validator meldet Warnungen
Sinclair_Classic,313,0,0,0,0,1,OK+WARN,validate_Sinclair_Classic_20260602_004750.txt,Validator meldet Warnungen | Magazin ohne Issues
Sinclair_News,190,0,0,0,0,1,OK+WARN,validate_Sinclair_News_20260602_004745.txt,Validator meldet Warnungen | Magazin ohne Issues
Spectrum_Magazine,312,0,0,0,0,1,OK+WARN,validate_Spectrum_Magazine_20260602_004744.txt,Validator meldet Warnungen | Magazin ohne Issues
Spectrumania,209,1,16,0,0,1,OK+WARN,validate_Spectrumania_20260602_004745.txt,Validator meldet Warnungen
Teleshow,219,5,24,0,0,1,OK+WARN,validate_Teleshow_20260602_004751.txt,Validator meldet Warnungen
Times,223,0,0,0,0,1,OK+WARN,validate_Times_20260602_004744.txt,Validator meldet Warnungen | Magazin ohne Issues
Warez,235,3,17,0,0,1,OK+WARN,validate_Warez_20260602_004749.txt,Validator meldet Warnungen
WeekEnd,236,5,35,0,0,1,OK+WARN,validate_WeekEnd_20260602_004742.txt,Validator meldet Warnungen
White_Crow,238,1,15,0,0,1,OK+WARN,validate_White_Crow_20260602_004740.txt,Validator meldet Warnungen
Wizard_News,240,1,12,0,0,1,OK+WARN,validate_Wizard_News_20260602_004741.txt,Validator meldet Warnungen
Woot,341,0,0,0,0,1,OK+WARN,validate_Woot_20260602_004747.txt,Validator meldet Warnungen | Magazin ohne Issues
X-Magazine,311,0,0,0,0,1,OK+WARN,validate_X-Magazine_20260602_004749.txt,Validator meldet Warnungen | Magazin ohne Issues
Xa-XaFon,242,0,0,0,0,1,OK+WARN,validate_Xa-XaFon_20260602_004742.txt,Validator meldet Warnungen | Magazin ohne Issues
ZX_Healthless,261,1,26,0,0,1,OK+WARN,validate_ZX_Healthless_20260602_004747.txt,Validator meldet Warnungen
ZX_Humor,262,1,11,0,0,1,OK+WARN,validate_ZX_Humor_20260602_004743.txt,Validator meldet Warnungen
ZX_Land,303,0,0,0,0,1,OK+WARN,validate_ZX_Land_20260602_004744.txt,Validator meldet Warnungen | Magazin ohne Issues
ZX_Live,266,3,22,0,0,1,OK+WARN,validate_ZX_Live_20260602_004751.txt,Validator meldet Warnungen
ZX_Magazine,268,3,34,0,0,1,OK+WARN,validate_ZX_Magazine_20260602_004740.txt,Validator meldet Warnungen
ZX_Paper,272,1,11,0,0,1,OK+WARN,validate_ZX_Paper_20260602_004748.txt,Validator meldet Warnungen
ZX_Revija,327,0,0,0,0,1,OK+WARN,validate_ZX_Revija_20260602_004744.txt,Validator meldet Warnungen | Magazin ohne Issues
